PassengerId,Survived
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,1
429,0
430,1
431,0
432,0
433,1
434,1
435,0
436,1
437,0
438,1
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,0
464,0
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,1
511,0
512,1
513,0
514,1
515,1
516,0
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,0
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,0
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,1
598,0
599,1
600,0
601,1
602,1
603,0
604,1
605,1
606,0
607,1
608,0
609,1
610,1
611,0
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,1
625,1
626,0
627,0
628,1
629,1
630,0
631,0
632,1
633,1
634,0
635,0
636,1
637,1
638,0
639,0
640,0
641,1
642,1
643,0
644,1
645,1
646,0
647,1
648,1
649,1
650,0
651,1
652,1
653,1
654,1
655,1
656,0
657,1
658,1
659,0
660,1
661,0
662,1
663,0
664,1
665,0
666,0
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,0
685,0
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,1
698,1
699,0
700,1
701,1
702,0
703,1
704,0
705,0
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,0
714,1
715,0
716,1
717,1
718,1
719,0
720,1
721,1
722,0
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,0
731,1
732,1
733,0
734,0
735,0
736,1
737,0
738,1
739,1
740,1
741,0
742,1
743,1
744,0
745,1
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,0
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,1
788,0
789,1
790,1
791,0
792,0
793,0
794,1
795,1
796,0
797,1
798,0
799,1
800,0
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,0
810,1
811,1
812,1
813,0
814,0
815,1
816,0
817,0
818,0
819,1
820,0
821,1
822,1
823,0
824,0
825,0
826,0
827,1
828,1
829,0
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,0
843,1
844,0
845,1
846,1
847,0
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,0
857,1
858,0
859,1
860,1
861,0
862,0
863,1
864,0
865,0
866,1
867,1
868,0
869,1
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,0
884,0
885,1
886,0
887,0
888,1
889,0
890,1
891,0
892,0
893,0
894,0
895,1
896,0
897,1
898,1
899,0
900,1
901,0
902,1
903,0
904,1
905,0
906,1
907,1
908,0
909,0
910,0
911,1
912,0
913,1
914,1
915,1
916,1
917,0
918,1
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,1
930,1
931,1
932,1
933,0
934,1
935,1
936,1
937,1
938,1
939,0
940,1
941,0
942,1
943,1
944,1
945,1
946,1
947,0
948,1
949,1
950,0
951,1
952,1
953,0
954,1
955,1
956,0
957,1
958,1
959,0
960,1
961,1
962,1
963,1
964,0
965,1
966,1
967,1
968,1
969,1
970,0
971,1
972,1
973,0
974,0
975,1
976,0
977,0
978,1
979,1
980,1
981,1
982,0
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,0
994,0
995,1
996,1
997,1
998,0
999,0
1000,1
1001,0
1002,1
1003,1
1004,1
1005,1
1006,1
1007,0
1008,0
1009,0
1010,1
1011,1
1012,1
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,1
1023,1
1024,0
1025,0
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,0
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,1
1043,1
1044,1
1045,0
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,1
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,1
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,0
1091,0
1092,1
1093,1
1094,0
1095,1
1096,0
1097,1
1098,1
1099,0
1100,1
1101,1
1102,1
1103,1
1104,0
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,0
1122,0
1123,1
1124,0
1125,0
1126,1
1127,1
1128,0
1129,0
1130,1
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,1
1158,0
1159,1
1160,0
1161,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,0
1169,0
1170,0
1171,0
1172,0
1173,1
1174,1
1175,1
1176,0
1177,1
1178,1
1179,1
1180,1
1181,1
1182,0
1183,1
1184,1
1185,0
1186,1
1187,1
1188,1
1189,0
1190,0
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,1
1198,0
1199,1
1200,0
1201,0
1202,1
1203,0
1204,1
1205,1
1206,1
1207,1
1208,0
1209,0
1210,1
1211,0
1212,1
1213,0
1214,0
1215,0
1216,1
1217,1
1218,1
1219,1
1220,0
1221,0
1222,1
1223,1
1224,1
1225,1
1226,1
1227,0
1228,0
1229,1
1230,0
1231,1
1232,0
1233,1
1234,0
1235,1
1236,0
1237,1
1238,0
1239,1
1240,0
1241,1
1242,1
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,1
1250,0
1251,0
1252,0
1253,1
1254,1
1255,1
1256,1
1257,0
1258,0
1259,0
1260,1
1261,1
1262,0
1263,1
1264,0
1265,0
1266,1
1267,1
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,1
1278,1
1279,0
1280,0
1281,0
1282,0
1283,1
1284,1
1285,0
1286,0
1287,1
1288,0
1289,1
1290,1
1291,0
1292,1
1293,0
1294,1
1295,0
1296,0
1297,1
1298,0
1299,0
1300,1
1301,0
1302,1
1303,1
1304,0
1305,1
1306,1
1307,1
1308,1
1309,0
